"stabb.x","stabb.y","styear","endyear"
"USA","UKG",1902,1903
"AUH","YUG",1913,1913
"ALB","UKG",1946,1946
"UKG","EGY",1951,1952
"UKG","IRN",1856,1857
"UKG","POR",1889,1890
"GMY","AUS",1938,1938
"GMY","USR",1938,1938
"GMY","BEL",1938,1938
"GMY","UKG",1938,1938
"GMY","FRN",1938,1938
"GMY","CZE",1938,1938
"UKG","JPN",1863,1863
"USA","JPN",1863,1863
"FRN","JPN",1863,1863
"UKG","TUR",1895,1895
"USA","UKG",1839,1839
"JPN","KOR",1897,1898
"UKG","KOR",1897,1898
"JPN","USR",1897,1898
"UKG","USR",1897,1898
"AUH","TUS",1848,1848
"AUH","MOD",1848,1848
"AUH","ITA",1848,1849
"USR","IRN",1945,1946
"AUH","YUG",1912,1912
"AUH","USR",1912,1912
"USR","LAT",1940,1940
"USR","EST",1939,1939
"NTH","UKG",1831,1832
"NTH","BEL",1831,1832
"NTH","FRN",1831,1831
"USR","USA",1948,1949
"USR","UKG",1948,1949
"USR","FRN",1948,1949
"UKG","CZE",1961,1961
"FRN","CZE",1961,1961
"USA","CZE",1961,1961
"GFR","CZE",1961,1961
"UKG","POL",1961,1961
"FRN","POL",1961,1961
"USA","POL",1961,1961
"GFR","POL",1961,1961
"UKG","GDR",1961,1961
"FRN","GDR",1961,1961
"USA","GDR",1961,1961
"GFR","GDR",1961,1961
"UKG","USR",1961,1961
"FRN","USR",1961,1961
"USA","USR",1961,1961
"GFR","USR",1961,1961
"TUN","FRN",1961,1961
"YUG","AUH",1908,1909
"AUH","CHN",1900,1900
"ITA","CHN",1900,1900
"GMY","CHN",1900,1900
"USA","CHN",1900,1900
"UKG","CHN",1900,1900
"FRN","CHN",1900,1900
"USR","CHN",1900,1900
"JPN","CHN",1900,1900
"UKG","USA",1837,1838
"JPN","CHN",1928,1928
"CHN","USR",1929,1929
"GMY","CHN",1897,1898
"ROK","USR",1953,1953
"USA","USR",1953,1954
"TAW","USR",1953,1954
"ROK","CHN",1953,1953
"USA","CHN",1953,1956
"TAW","CHN",1953,1956
"CHN","NEW",1950,1953
"PRK","NEW",1950,1953
"CHN","PHI",1950,1953
"PRK","PHI",1950,1953
"CHN","NTH",1950,1953
"PRK","NTH",1950,1953
"CHN","GRC",1950,1953
"PRK","GRC",1950,1953
"CHN","BEL",1950,1953
"PRK","BEL",1950,1953
"CHN","COL",1950,1953
"PRK","COL",1950,1953
"CHN","THI",1950,1953
"PRK","THI",1950,1953
"CHN","ETH",1950,1953
"PRK","ETH",1950,1953
"CHN","CAN",1950,1953
"PRK","CAN",1950,1953
"CHN","FRN",1950,1953
"PRK","FRN",1950,1953
"CHN","AUL",1950,1953
"PRK","AUL",1950,1953
"CHN","TUR",1950,1953
"PRK","TUR",1950,1953
"CHN","UKG",1950,1953
"PRK","UKG",1950,1953
"CHN","ROK",1950,1953
"PRK","ROK",1950,1953
"CHN","USA",1950,1953
"PRK","USA",1950,1953
"CHN","USA",1956,1956
"ITA","GRC",1923,1923
"FRN","TUR",1897,1897
"GMY","TUR",1897,1897
"AUH","TUR",1897,1897
"ITA","TUR",1897,1897
"UKG","TUR",1897,1897
"USR","TUR",1897,1897
"FRN","GRC",1897,1897
"GMY","GRC",1897,1897
"AUH","GRC",1897,1897
"ITA","GRC",1897,1897
"UKG","GRC",1897,1897
"USR","GRC",1897,1897
"USR","AUH",1853,1856
"USR","ITA",1853,1856
"USR","TUR",1853,1856
"USR","UKG",1853,1856
"USR","FRN",1853,1856
"USA","USR",1962,1962
"USA","CUB",1962,1962
"USR","TUR",1826,1826
"AUH","RUM",1883,1883
"YUG","GMY",1934,1934
"ITA","GMY",1934,1934
"CZE","GMY",1934,1934
"FRN","DOM",1900,1900
"USA","DOM",1900,1900
"USA","DOM",1914,1916
"UKG","GRC",1850,1850
"UKG","FRN",1898,1898
"AUH","PAP",1847,1848
"SPN","MOR",1907,1908
"FRN","MOR",1907,1908
"FRN","GMY",1870,1871
"FRN","BAD",1870,1870
"FRN","WRT",1870,1870
"FRN","BAV",1870,1870
"USR","SPN",1822,1823
"GMY","SPN",1822,1823
"AUH","SPN",1822,1823
"FRN","SPN",1822,1823
"USR","TUR",1887,1887
"FRN","GAB",1964,1964
"GMY","HAI",1909,1910
"ITA","GRC",1886,1886
"UKG","GRC",1886,1886
"GMY","GRC",1886,1886
"AUH","GRC",1886,1886
"USR","GRC",1886,1886
"USA","HAI",1914,1915
"USR","CHN",1880,1880
"GMY","JPN",1895,1895
"FRN","JPN",1895,1895
"USR","JPN",1895,1895
"ITA","ALB",1939,1939
"AUH","ITA",1904,1904
"UKG","ITA",1934,1936
"ETH","ITA",1934,1936
"ITA","FRN",1860,1860
"ITA","PAP",1860,1860
"ITA","FRN",1860,1861
"ITA","SIC",1860,1861
"ITA","TUR",1911,1911
"GMY","FRN",1859,1859
"AUH","FRN",1859,1859
"GMY","ITA",1859,1859
"AUH","ITA",1859,1859
"UKG","USR",1885,1885
"USA","AUH",1853,1853
"IRQ","IRN",1961,1961
"IRQ","SAU",1961,1962
"IRQ","TUN",1961,1962
"IRQ","UKG",1961,1962
"IRQ","SUD",1961,1962
"IRQ","EGY",1961,1962
"IRQ","JOR",1961,1962
"IRQ","KUW",1961,1962
"FRN","ARG",1845,1846
"UKG","ARG",1845,1846
"USA","EGY",1958,1958
"UKG","EGY",1958,1958
"USA","IRQ",1958,1958
"UKG","IRQ",1958,1958
"USA","USR",1958,1958
"UKG","USR",1958,1958
"USR","TUR",1853,1853
"AUH","TUR",1853,1853
"ITA","GMY",1921,1921
"UKG","GMY",1921,1921
"BEL","GMY",1921,1921
"FRN","GMY",1921,1921
"USR","TUR",1905,1905
"UKG","TUR",1905,1905
"FRN","TUR",1905,1905
"ITA","TUR",1905,1905
"AUH","TUR",1905,1905
"JPN","CHN",1931,1933
"USR","KOR",1899,1900
"USR","JPN",1899,1900
"LIT","ITA",1923,1923
"LIT","UKG",1923,1923
"LIT","FRN",1923,1923
"GMY","LIT",1939,1939
"SPN","MEX",1861,1862
"UKG","MEX",1861,1862
"FRN","MEX",1861,1867
"USA","MEX",1913,1914
"UKG","POR",1831,1831
"CHN","JPN",1934,1935
"GMY","TUR",1880,1880
"ITA","TUR",1880,1880
"USR","TUR",1880,1880
"FRN","TUR",1880,1880
"UKG","TUR",1880,1881
"AUH","TUR",1880,1880
"GRC","TUR",1880,1881
"USR","TUR",1821,1821
"USA","UKG",1854,1854
"UKG","CHN",1927,1927
"ITA","CHN",1927,1927
"USA","CHN",1927,1927
"POR","CHN",1927,1927
"SPN","CHN",1927,1927
"FRN","CHN",1927,1927
"JPN","CHN",1927,1927
"FRN","TUR",1827,1828
"USR","TUR",1827,1828
"UKG","TUR",1827,1828
"AUH","SIC",1821,1821
"CHN","NEP",1959,1960
"GMY","SWZ",1856,1857
"USA","NIC",1926,1926
"FRN","UKG",1896,1898
"FRN","USR",1833,1833
"UKG","USR",1833,1833
"FRN","TUR",1833,1833
"UKG","TUR",1833,1833
"GMY","AUH",1850,1850
"GMY","WRT",1850,1850
"GMY","BAV",1850,1850
"GMY","HSE",1850,1850
"GMY","FRN",1850,1850
"GMY","USR",1850,1850
"TUR","UKG",1906,1906
"JPN","CHN",1937,1941
"COS","PAN",1921,1921
"USA","PAN",1921,1921
"USA","COL",1903,1904
"FRN","MEX",1838,1839
"FRN","MOR",1904,1904
"UKG","MOR",1904,1904
"USA","MOR",1904,1904
"USR","IRN",1911,1912
"USR","IRN",1908,1908
"AUH","ITA",1821,1821
"USR","POL",1939,1939
"CHN","TAW",1962,1962
"CHN","USA",1962,1962
"USR","USA",1958,1958
"CHN","USA",1958,1958
"USR","TAW",1958,1958
"CHN","TAW",1958,1958
"GMY","FRN",1936,1936
"GMY","BEL",1936,1936
"AUH","PAP",1849,1849
"FRN","PAP",1849,1849
"SIC","PAP",1849,1849
"FRN","GMY",1922,1923
"BEL","GMY",1922,1923
"USR","JPN",1932,1935
"USR","FIN",1939,1940
