ID,nominating,getting.nominated,self.nomination,mutual.nomination,male.nominator,nominee.out,colleage.ra,team1.ratio,team2.ratio,gender,Letter Grade,Total Curved grade,HW average,Midterm 1,Midterm 2,Final exam,Project 2,Project 1,filled-survey,a-z,age,major,major.other,en.help,en.community,en.askq,en.diveritycommit,en.perknow,en.perdiscuss,colleages,pod
1114,0,1,0,0,0,0,0.5,0.5,1,f,A-,89.4,90.15873016,75,83,79,91.3,98.5,1,1,1,NA,architectural design,4,3,4,3,5,4,2,spades
1014,3,5,0,1,2,0,1,0.6,1,f,A-,89.99,91.26984127,76,77,88,90.2,95,1,1,1,ce,NA,5,5,5,5,4,5,3,spades
1244,2,3,0,1,3,1,0,0,0,m,A+,95.05,94.0297619,77,87,88,100,104,1,1,1,me,NA,3,4,4,4,2,4,1,clubs
1272,7,3,0,2,2,3,0.4,0.33,1,f,B+,87.37,84.25396825,72,79,73,98.6,108,1,0,1,NA,architectural design,5,5,5,5,NA,8,5,diamonds
1132,1,4,1,0,4,0,0,0.33,0,m,A,91.29,86.05952381,73,82,96,88.1,98,1,0,1,me,NA,4,4,5,5,4,4,2,diamonds
1232,2,6,0,0,1,2,1,1,1,f,A,91.57,92.63095238,68,83,90,97.3,92.5,1,0,1,NA,product design,4,4,4,4,6,4,3,spades
1383,2,4,1,0,2,1,0.25,0.33,0,f,B+,86.94,79.3234127,77,74,87,94.6,97.5,1,0,1,NA,human biology,4,3,4,3,2,6,4,clubs
1203,1,2,0,1,0,0,1,0.66,1,f,A,93.91,92.43650794,80,82,98,90.2,95,1,1,1,NA,architectural design,5,2,2,4,3,3,1,hearts
1468,22,3,1,1,2,17,0.5,?,?,m,D+,63.87,43.75396825,33,55,64,80.9,108,1,0,1,me,NA,4,3,4,3,6,4,4,spades
1176,2,4,0,0,1,0,0.4,0.66,NA,m,B,83.14,76.44444444,68,77,79.5,86.7,96,1,1,1,NA,product design,5,4,4,3,4,5,5,spades
1072,8,6,1,5,2,4,0,0.33,0,f,A+,96.07,94.90277778,80,88,95,95.4,98,1,1,1,me,NA,4,3,4,4,5,4,1,spades
1178,3,2,0,1,1,0,1,1,1,f,B+,87.08,84.11111111,71,84,75,98.5,92.5,1,0,1,NA,product design,5,4,4,4,6,7,4,clubs
1200,3,1,0,1,1,2,0,0,0,m,B-,79.85,84.67063492,77,77,53,71,98.5,1,0,1,NA,product design,4,2,3,5,3,4,2,diamonds
1119,8,4,0,1,4,5,0.33,0,0,m,B+,88.13,90.90079365,79,85,76,71,98.5,1,0,1,NA,product design,4,4,2,3,4,6,3,spades
1142,4,4,0,2,3,1,0.66,0.66,0,f,A,94.61,95.09920635,75,87,86,99.6,103.5,1,1,1,me,NA,4,2,3,4,4,4,3,diamonds
1350,7,6,1,3,5,2,0.5,0.33,0.33,m,A,91.05,83.15079365,78,85,89,94.6,98,1,0,1,NA,biomechanical engineering,4,3,3,4,3,5,6,spades
1120,4,5,1,2,3,1,1,1,1,m,A,92.99,84.0515873,80,84,92,99.6,103.5,1,1,1,me,NA,4,4,4,4,4,4,3,spades
1100,5,2,0,1,1,4,1,0.66,1,f,A,91.14,88.20833333,74,85,87,92.6,101,1,0,1,NA,BS STS:Innov&org,4,3,2,4,4,5,2,spades
1078,1,8,0,1,3,0,0.5,0.66,0,m,A+,97.76,95.88095238,80,90,97,100,99,1,0,1,me,NA,4,2,4,5,3,4,4,hearts
1251,0,3,0,0,2,NA,NA,NA,NA,m,A-,89.44,81.45436508,78,84,82,97.3,101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diamonds
1091,1,2,0,0,1,1,0.33,0.33,0,m,A,93.73,87.38095238,77,87,94,99.8,98,1,0,1,me,NA,3,3,5,4,5,4,3,clubs
1038,6,4,0,4,3,2,0.5,0.66,0,f,A,94.57,91.01984127,72,87,91,98.3,110,1,1,1,ms&e,NA,4,3,3,4,2,4,2,hearts
1402,2,4,0,0,1,2,0.5,0.66,1,f,B,84.81,76.28571429,80,81,70,95.1,100.5,1,0,1,mse,NA,4,3,3,4,2,4,2,hearts
1324,3,3,1,0,1,1,0.5,0.33,1,f,A,91.12,83.71428571,77,88,82,92.3,108,1,0,1,me,NA,4,4,3,4,3,5,4,spades
1151,0,2,0,0,0,0,NA,NA,NA,f,B-,82.96,81.27777778,76,68,68,89.2,109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hearts
1016,0,2,0,0,1,0,0.66,0.66,1,m,A+,95.47,97.57936508,77,85,94,95.6,96,1,1,1,me,NA,4,2,2,3,2,5,3,diamonds
1493,10,4,0,3,3,7,0.33,0,1,f,A-,89.25,82.62301587,78,78,90,95.7,98,1,1,1,me,NA,4,4,3,3,5,3,4,hearts
1189,3,2,0,1,2,0,0,0,0,f,B+,87.32,83.78373016,69,73,88,100,94.5,1,1,1,NA,product design,4,4,4,3,4,4,3,hearts
1097,2,4,1,1,2,0,0.33,0.33,1,m,B,84.06,86.16269841,54,76,78,95.5,94.5,1,0,1,me,NA,4,3,4,5,3,7,4,hearts
1488,3,3,0,2,2,0,0,0,0,m,B,83.99,81.5952381,60,83,67,97.3,104,1,0,1,NA,earth systems,5,4,5,5,4,5,3,clubs
1261,6,5,1,3,3,3,0.66,0.66,1,m,B,85.89,77.61111111,78,67,90,95.4,98,1,1,1,me,NA,4,4,5,5,3,4,3,spades
1291,0,0,0,0,0,0,NA,NA,NA,f,,0,0,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hearts
1088,1,4,0,0,3,0,0,0,0,f,B,85.82,80.03174603,77,78,79,88.1,98,1,0,1,me,NA,5,5,5,4,2,4,5,clubs
1322,10,5,1,4,3,6,0,0.66,0,m,A,91.31,86.69047619,79,81,89,98.5,94,1,0,1,NA,human biology,5,3,4,4,4,5,2,hearts
1102,2,2,0,1,0,0,0.66,0.66,1,f,A,91.02,76.31746032,77,88,91,96.8,104,1,1,1,me,NA,4,3,5,4,3,3,3,hearts
1467,3,3,0,1,1,0,0.66,1,1,m,B,84.36,77.49206349,75,77,77,88.1,100.5,1,0,1,NA,biomechanical engineering,4,4,3,4,5,4,3,clubs
1464,0,4,0,0,2,0,0.75,1,0.5,m,B+,87.53,87.12301587,74,82,70,99.1,98.5,1,0,1,NA,product design,5,4,5,3,3,4,4,spades
1412,0,2,0,0,1,0,0.33,0.33,0,f,B,85.35,82.50992063,74,78,73,95.6,96,1,1,1,me,NA,4,2,2,3,3,4,3,clubs
1454,5,5,1,2,1,1,0.33,0.33,1,f,A,93.99,93.22222222,78,79,93,96.8,104,1,1,1,me,NA,4,3,4,5,4,4,3,diamonds
1350,6,0,0,0,0,3,0.66,0.66,1,f,C,69.22,62.56904762,37,41,76,97.3,101,1,1,1,NA,product design,3,3,2,4,5,4,3,clubs
1147,0,3,0,0,2,0,1,1,0,m,B,83.57,74.05555556,76,78,79,88.1,95,1,0,1,cs,NA,5,3,3,4,3,5,3,spades
1079,3,4,0,3,3,0,0,0,0,m,A+,97.11,96.5297619,80,87,93,100,104,1,1,1,me,NA,4,3,5,5,2,4,1,spades
1401,6,1,0,0,1,4,0.5,0.33,1,f,B,85.73,84.83730159,71,79,74,92.6,96,1,0,1,NA,product design,3,2,2,2,6,3,2,clubs
1195,1,0,0,0,0,0,0.66,0.5,1,f,A,92.31,84.57539683,79,86,94,92.3,98.5,1,0,1,ese,NA,5,3,4,3,5,7,6,spades
1300,1,2,0,0,1,1,1?,0.33,1,f,B+,88.34,87.38095238,70,85,80,91.9,94,1,0,1,ce,NA,5,4,3,4,3,5,3,spades
1470,11,6,1,3,3,9,0.33,0.33,1,m,A,94.45,93.11111111,80,84,93,100,94.5,1,1,1,NA,product design,4,3,4,3,5,6,3,clubs
1452,6,7,0,5,3,1,0.66,0.33,1,f,A,93.03,98.13888889,79,84,90,99,75,1,1,1,me,NA,5,4,3,4,4,5,6,diamonds
1012,1,4,0,1,2,0,0.75,1,0,m,A,94.64,92.01587302,75,86,94,94,104,1,0,1,cs,NA,2,1,4,2,2,4,4,diamonds
1498,4,3,0,1,1,1,0.75,1,1,f,A,92.86,91.54365079,76,84,91,98.5,92.5,1,1,1,NA,product design,5,5,5,5,6,7,4,clubs
1222,6,7,0,3,4,4,0.5,0.33,0.5,f,C+,77.98,70.79166667,57,74,53,99.1,110,1,0,1,NA,design engineering,4,4,3,4,7,5,4,spades
1465,0,4,0,0,3,0,NA,0.33,1,f,B+,87.63,85.47222222,73,85,75,91.9,94,1,0,1,NA,product design,5,3,2,3,4,5,0,spades
1072,8,13,0,7,6,5,1,1,1,f,B,83.61,79.87698413,70,64,77,97.3,109,1,1,1,me,NA,4,3,4,4,6,5,2,hearts
1079,0,2,0,0,2,0,0,0,0,m,B+,88.4,86.29365079,70,80,81,96.8,98.5,1,1,1,me,NA,4,3,4,3,4,6,3,diamonds
1026,6,3,0,2,2,5,0,0.66,0,m,B,84.3,78.12301587,70,77,76,98.5,94,1,0,1,NA,history,5,3,4,4,5,5,2,diamonds
1465,3,0,0,0,0,2,0.66,0.66,1,f,B,84.47,78.39285714,64,80,76,95.1,100.5,1,0,1,NA,product design,5,4,4,4,4,5,3,diamonds
1000,0,2,0,0,2,0,NA,NA,NA,m,D+,64.76,61.23809524,60,39,56,80.9,97.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clubs
1320,0,0,0,0,0,0,NA,NA,NA,m,B+,87.48,80.73412698,78,83,89,68,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,diamonds
1493,5,1,0,1,0,2,1,0.33,1,m,B+,86.93,76.01111111,73,80,90,89.9,98,1,1,1,NA,energy resources engineering,4,3,4,4,5,3,1,diamonds
