ID,gender,Letter Grade,Total Curved grade,HW average,Midterm 1,Midterm 2,Final,filled-survey,a-z,age,major,major.other,en.help,en.community,en.askq,en.diveritycommit,en.perknow,en.perdiscuss,nominating,getting.nominated,self.nomination,mutual.nomination,male.nominator
2128,m,A,97.9,87.58,98,86,88.25,1,0,1,me,NA,3,2,4,4,2,2,6,0,0,0,0
2426,f,B,83.55,67.63,84,83,72.5,1,0,1,ce,NA,3,2,4,4,2,3,0,0,0,0,0
2353,m,C-,70.7,94.54,62,80,41.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2087,m,C,74.8,96.17,78,61,53.25,1,0,1,me,NA,4,3,4,5,1,2,1,2,0,1,2
2263,m,B,84.5,94.5,82,71,70.25,1,1,1,me,NA,4,3,2,3,2,3,6,3,0,1,0
2209,f,C,73.3,83.08,73,69,54.25,1,1,1,me,NA,4,2,1,4,2,2,0,2,0,0,2
2495,f,C,76.2,88.17,84,89,39.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
2479,m,B-,81,83.33,87,73,62.5,1,0,1,me,NA,3,3,3,5,2,2,0,0,0,0,0
2108,m,A+,104.2,88.88,98,93,99.25,1,0,1,,NA,3,1,4,5,1,2,2,3,1,0,3
2219,f,B,83.9,85.21,85,89,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2120,m,C-,70,66.92,86,87,34.25,1,1,1,me,NA,4,1,2,3,1,1,0,1,0,0,1
2010,m,B,86.875,90,91,87,62.5,1,1,1,me,NA,3,3,4,4,2,2,3,3,0,3,3
2015,m,A-,90.3,93.25,87,98,65.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
2200,m,A-,94.3,96.71,99,76,80,1,1,1,me,NA,4,3,2,3,2,2,5,2,0,2,1
2363,m,A,97,97.21,96,100,73.25,1,0,1,me,NA,4,3,3,4,2,3,5,3,0,0,3
2413,m,A-,93.1,90.13,96,95,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,1
2101,m,C+,78.3,64.92,92,87,52.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2279,m,A-,92.5,87.83,93,87,76.75,1,0,1,me,NA,1,1,4,4,1,2,0,0,0,0,0
2175,f,B,85.8,96.96,85,48,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,1
2044,m,A+,104.7,94.63,93,98,97.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
2417,f,C,74.7,90.79,85,63,50,1,1,1,ce,NA,4,4,2,3,NA,3,2,1,0,0,0
2373,m,A,95.9,97.63,83,90,85,1,0,1,me,NA,4,3,4,3,2,3,2,2,0,2,1
2254,m,C,75.7,80.13,91,88,38.25,1,1,1,oth,biomechanical engineering,2,2,4,4,1,2,0,2,0,0,2
2397,f,C-,66.7,62.42,68,93,35.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2423,m,A+,103.3,88.42,97,100,93.25,1,1,1,ce,NA,4,2,4,3,2,2,4,2,0,1,1
2389,m,A+,103.7,99.67,98,98,89.25,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,3
2244,f,C-,59.8,82.33,52,42,50.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,1
2427,m,A-,91.3,86.96,96,67,85,1,1,1,,NA,4,2,3,4,2,3,4,3,1,1,3
2193,f,C,76,95.83,87,74,42.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2064,m,D-,47.0575,0,55,72,39.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2329,m,D-,54.3,55,78,55,25.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2074,m,I,63.9,81.17,89,86,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2456,m,C-,68.4,87.25,71,82,32.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2052,m,A,96.4,92.67,79,91,90.75,1,0,1,oth,product design,4,2,3,3,2,2,3,3,0,2,3
2298,m,B+,87.3,85,94,82,67.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2143,m,B+,87.5,82,93,90,65,1,0,1,me,NA,4,2,3,4,1,2,4,3,1,2,2
2392,f,C+,79.3,93.04,78,92,46.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2190,m,A,98.5,92.13,100,89,84.25,1,0,1,me,NA,3,3,5,3,2,2,3,0,0,0,0
2082,m,B-,81.8,94,89,72,58.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
2092,m,D,56.9,82.92,58,77,16.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
2362,m,B,86.2,77.63,96,84,65.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0,4
2025,m,A-,94.5,93.96,96,86,77.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2
2143,f,B+,88.2,97.42,96,97,52.5,1,1,1,me,NA,4,2,3,4,2,2,3,1,0,1,0
2266,m,A-,91.9,96.46,89,91,70.75,1,0,1,cs,NA,4,1,4,3,2,2,6,5,1,4,4
2049,m,A,99.8,95.79,94,100,82.5,1,0,1,ee,NA,4,2,3,4,2,3,5,3,1,1,3
2443,m,A,100.8,95.08,98,85,92.5,1,0,1,oth,mathematics,4,2,4,5,2,3,0,2,0,0,2
